 ,lhs,Var.2,rhs,support,confidence,coverage,lift,count
[1],{due},=>,{covid},0.006668393,0.178819444,0.037291208,9.459058695,103
[2],"{business,management}",=>,{risk},0.006279943,0.131614654,0.047714619,6.687236664,97
[3],"{management,student}",=>,{risk},0.006020976,0.130434783,0.046160818,6.62728833,93
[4],"{experience,part}",=>,{risk},0.006215201,0.127829561,0.048621002,6.494919055,96
[5],"{business,new,something}",=>,{risk},0.006085718,0.124174373,0.049009452,6.309201836,94
[6],"{may,student}",=>,{covid},0.006474168,0.119189511,0.05431827,6.304798602,100
[7],"{experience,management}",=>,{risk},0.006474168,0.12300123,0.052634986,6.249595391,100
[8],"{admission,may}",=>,{covid},0.006733135,0.118047673,0.057037421,6.244398489,104
[9],"{business,something,student}",=>,{risk},0.006020976,0.121568627,0.049527386,6.176805986,93
[10],{finance},=>,{risk},0.006085718,0.121447028,0.050110061,6.170627635,94
[11],"{management,year}",=>,{risk},0.007251068,0.119914347,0.06046873,6.092753297,112
[12],"{admission,business,something}",=>,{risk},0.006020976,0.118925831,0.050627994,6.042527595,93
[13],"{part,year}",=>,{risk},0.006797876,0.116926503,0.058138029,5.940943324,105
[14],"{business,something}",=>,{risk},0.006474168,0.115740741,0.055936812,5.880695663,100
[15],"{business,place}",=>,{risk},0.006409426,0.114716107,0.05587207,5.828634811,99
[16],"{take,year}",=>,{risk},0.006474168,0.114285714,0.056648971,5.806766917,100
[17],"{business,new,student}",=>,{risk},0.006215201,0.114285714,0.054383012,5.806766917,96
[18],"{management,work}",=>,{risk},0.006279943,0.111622555,0.056260521,5.671453879,97
[19],"{business,check}",=>,{risk},0.006085718,0.110458284,0.05509517,5.612298225,94
[20],"{business,experience,year}",=>,{risk},0.006085718,0.107551487,0.056584229,5.464606166,94
[21],"{admission,business,student}",=>,{risk},0.006279943,0.10718232,0.058591221,5.445849084,97
[22],"{may,time}",=>,{covid},0.007186327,0.102777778,0.069921015,5.436662861,111
[23],"{many,time}",=>,{covid},0.006020976,0.102197802,0.058914929,5.405983742,93
[24],{management},=>,{risk},0.008934352,0.105102818,0.085005827,5.340191205,138
[25],"{business,new}",=>,{risk},0.006862618,0.104330709,0.065777548,5.300960941,106
[26],"{experience,time,year}",=>,{risk},0.006344685,0.103157895,0.061504597,5.241371191,98
[27],"{something,year}",=>,{risk},0.006474168,0.103092784,0.06279943,5.238062941,100
[28],{admitted},=>,{admit},0.00615046,0.137880987,0.044607018,3.312145761,95
[29],{received},=>,{admit},0.009905477,0.122990354,0.080538651,2.95444635,153
[30],{got},=>,{admit},0.014178428,0.108415842,0.130778195,2.60434073,219
[31],{decision},=>,{admit},0.010358669,0.10731053,0.096529846,2.577789182,160
[32],{idea},=>,{admit},0.006279943,0.100622407,0.06241098,2.417128605,97
