,lhs,Var.2,rhs,support,confidence,coverage,lift,count
[1],"{data,decision,tracker}",=>,{admit},0.003107601,0.842105263,0.003690276,20.22886142,48
[2],"{data,tracker}",=>,{admit},0.003107601,0.827586207,0.003755017,19.88008795,48
[3],"{financial,global,student}",=>,{risk},0.003042859,0.34057971,0.008934352,17.30458619,47
[4],"{financial,global}",=>,{risk},0.003301826,0.320754717,0.010293927,16.29729394,51
[5],"{admission,situation,student}",=>,{covid},0.003237084,0.303030303,0.010682377,16.02947281,50
[6],"{may,situation}",=>,{covid},0.003819759,0.302564103,0.012624628,16.00481208,59
[7],"{global,industry,student}",=>,{risk},0.003107601,0.303797468,0.010229186,15.43570953,48
[8],"{admission,finance,financial}",=>,{risk},0.003042859,0.303225806,0.010034961,15.40666384,47
[9],"{situation,student}",=>,{covid},0.003884501,0.283018868,0.013725236,14.97092272,60
[10],"{finance,financial,student}",=>,{risk},0.003366567,0.290502793,0.011588761,14.76021758,52
[11],"{experience,global,part}",=>,{risk},0.003301826,0.289772727,0.011394536,14.7231235,51
[12],"{global,part,year}",=>,{risk},0.003431309,0.288043478,0.011912469,14.63526173,53
[13],"{experience,global,working}",=>,{risk},0.003042859,0.284848485,0.010682377,14.47292663,47
[14],"{global,management,time}",=>,{risk},0.003107601,0.282352941,0.011006086,14.34613003,48
[15],"{admission,situation,time}",=>,{covid},0.003172342,0.269230769,0.011782986,14.24157007,49
[16],"{due,may}",=>,{covid},0.003949243,0.26754386,0.014761103,14.15233718,61
[17],"{global,part,student}",=>,{risk},0.003496051,0.278350515,0.012559886,14.14276994,54
[18],"{global,student,working}",=>,{risk},0.003237084,0.274725275,0.011782986,13.95857432,50
[19],"{global,management,student}",=>,{risk},0.003625534,0.273170732,0.013272045,13.87958922,56
[20],"{global,working,year}",=>,{risk},0.003301826,0.268421053,0.012300919,13.63826177,51
[21],"{decision,discus}",=>,{admit},0.003042859,0.56626506,0.005373559,13.6026907,47
[22],"{global,part}",=>,{risk},0.003884501,0.266666667,0.014566878,13.54912281,60
[23],"{admission,situation}",=>,{covid},0.004208209,0.250965251,0.016768095,13.2753742,65
[24],"{financial,management,student}",=>,{risk},0.003301826,0.257575758,0.012818853,13.08722089,51
[25],"{job,management,part}",=>,{risk},0.003107601,0.255319149,0.012171436,12.97256439,48
[26],"{global,industry}",=>,{risk},0.003172342,0.255208333,0.012430403,12.96693394,49
