"","lhs","Var.2","rhs","support","confidence","coverage","lift","count"
"[1]","{blend,covid}","=>","{pandemic}",0.00192705395751081,0.488095238095238,0.00394811054709532,115.385714285714,41
"[2]","{covid,timely}","=>","{pandemic}",0.00188005264147396,0.481927710843373,0.00390110923105847,113.927710843374,40
"[3]","{covid,featured}","=>","{pandemic}",0.00188005264147396,0.481927710843373,0.00390110923105847,113.927710843374,40
"[4]","{covid,monthly}","=>","{pandemic}",0.00188005264147396,0.481927710843373,0.00390110923105847,113.927710843374,40
"[5]","{covid,poster}","=>","{pandemic}",0.00188005264147396,0.481927710843373,0.00390110923105847,113.927710843374,40
"[6]","{covid,entry}","=>","{pandemic}",0.00188005264147396,0.481927710843373,0.00390110923105847,113.927710843374,40
"[7]","{covid,latest}","=>","{pandemic}",0.00188005264147396,0.481927710843373,0.00390110923105847,113.927710843374,40
"[8]","{covid,however}","=>","{pandemic}",0.00112803158488438,0.48,0.00235006580184245,113.472,24
"[9]","{covid,longer}","=>","{pandemic}",0.00192705395751081,0.476744186046512,0.00404211317916902,112.702325581395,41
"[10]","{covid,feature}","=>","{pandemic}",0.00192705395751081,0.476744186046512,0.00404211317916902,112.702325581395,41
"[11]","{covid,visitor}","=>","{pandemic}",0.00188005264147396,0.476190476190476,0.00394811054709532,112.571428571429,40
"[12]","{covid,list}","=>","{pandemic}",0.00206805790562136,0.473118279569892,0.00437112239142696,111.845161290323,44
"[13]","{covid,twitter}","=>","{pandemic}",0.00188005264147396,0.470588235294118,0.00399511186313217,111.247058823529,40
"[14]","{covid,source}","=>","{pandemic}",0.00197405527354766,0.466666666666667,0.00423011844331641,110.32,42
"[15]","{covid,subscribe}","=>","{pandemic}",0.00188005264147396,0.465116279069767,0.00404211317916902,109.953488372093,40
"[16]","{covid,relevant}","=>","{pandemic}",0.00188005264147396,0.465116279069767,0.00404211317916902,109.953488372093,40
"[17]","{covid,world}","=>","{pandemic}",0.00122203421695807,0.464285714285714,0.00263207369806355,109.757142857143,26
"[18]","{covid,dozen}","=>","{pandemic}",0.00188005264147396,0.459770114942529,0.00408911449520587,108.689655172414,40
